date,day_of_week,hour,service_location,number_of_counters,queue_length,average_service_time,students_arriving,exam_period,holiday,waiting_time
2026-03-07,Saturday,17,Student Service Center,3,26,3.65175095889841,17,0,0,32.304510064706314
2026-06-29,Monday,15,Student Service Center,5,45,1.0854215062263117,49,0,0,11.556335165678622
2026-06-13,Saturday,11,Admin Office,3,80,5.0837425633628435,78,0,0,135.7732796904516
2026-02-16,Monday,17,Library Counter,4,84,7.524827977385287,64,1,0,159.5424529938047
2026-03-09,Monday,12,Student Service Center,2,33,1.5412474584215108,13,0,0,23.264558792369403
2026-02-10,Tuesday,13,Library Counter,1,50,6.862435523017444,40,0,1,342.7789474521117
2026-02-24,Tuesday,10,Student Service Center,1,60,5.226050722110973,61,0,0,311.47718172710387
2026-01-25,Sunday,17,Library Counter,2,26,1.2299266917040685,21,0,0,20.291042695185922
2026-06-01,Monday,16,Fee Counter,5,87,5.425850015436713,67,1,0,91.51454592130548
2026-02-18,Wednesday,14,Cafeteria,4,94,2.2912400999319926,67,0,0,53.24090964253364
2026-05-21,Thursday,14,Library Counter,3,61,5.374831909357366,34,0,0,109.31005640312112
2026-05-24,Sunday,15,Library Counter,2,70,4.085339228567597,70,0,0,143.19297748686853
2026-06-15,Monday,10,Fee Counter,1,11,2.8952127120048763,7,0,0,33.999336177965766
2026-05-04,Monday,8,Fee Counter,2,77,2.77721994830313,61,1,0,105.49187280721812
2026-03-13,Friday,13,Cafeteria,5,28,6.637204771505336,12,0,0,42.07817697607342
2026-02-01,Sunday,15,Library Counter,4,42,3.267930427747597,18,1,0,32.008669610952566
2026-03-15,Sunday,14,Cafeteria,5,67,3.9499718541474858,40,0,0,57.070996534192105
2026-02-16,Monday,12,Fee Counter,3,34,5.369042354943938,16,0,0,61.12443990689455
2026-05-17,Sunday,9,Student Service Center,4,13,7.07927583128539,28,0,1,23.907096037673625
2026-05-08,Friday,8,Admin Office,3,77,3.817850305178864,70,0,0,96.7356760262102
2026-01-22,Thursday,11,Admin Office,2,61,6.758087131381718,41,1,0,207.35895093638305
2026-02-11,Wednesday,11,Cafeteria,2,34,2.8654887535961757,31,0,0,51.570785438807484
2026-04-08,Wednesday,16,Student Service Center,2,85,3.9542524168548114,66,1,0,167.88669872881948
2026-02-23,Monday,8,Library Counter,5,30,3.020856157394899,25,0,0,17.970518676088986
2026-04-23,Thursday,14,Library Counter,2,35,4.38628459352689,26,0,1,75.91927016585814
2026-05-28,Thursday,10,Library Counter,4,81,4.319661160902587,77,0,0,87.22820836463126
2026-02-09,Monday,8,Cafeteria,1,30,1.5315338725873546,29,0,0,43.568138930252296
2026-04-18,Saturday,10,Admin Office,4,60,6.530094911542992,53,0,0,100.47590553271002
2026-02-16,Monday,15,Library Counter,5,76,2.7476760620143015,74,0,0,42.68007585176251
2026-05-23,Saturday,17,Cafeteria,5,21,7.995474496960844,20,0,0,35.027445538732984
2026-03-27,Friday,17,Student Service Center,1,64,6.567392865713682,63,0,0,423.2736597906374
2026-04-26,Sunday,14,Library Counter,2,47,3.552880746201141,18,0,0,84.97811508775492
2026-02-14,Saturday,9,Library Counter,5,52,6.627838855806283,43,0,0,70.23673602343165
2026-06-02,Tuesday,9,Cafeteria,5,56,7.090692117306509,59,0,0,76.585907000636
2026-01-13,Tuesday,9,Library Counter,3,76,3.813516395264695,66,1,0,97.44808697580356
2026-01-16,Friday,15,Fee Counter,1,4,2.6714400203781166,9,0,0,8.569552986563624
2026-05-22,Friday,15,Admin Office,4,47,7.37237371440274,52,0,0,83.98619656199479
2026-05-23,Saturday,8,Cafeteria,4,54,1.6258770161858167,65,0,1,22.289985924787953
2026-03-04,Wednesday,15,Library Counter,5,28,3.8110616549784124,8,1,0,25.04455115014507
2026-02-23,Monday,12,Library Counter,5,85,1.2571235619862953,61,0,0,26.029262657633623
2026-04-30,Thursday,13,Student Service Center,5,30,5.180918507012387,13,0,0,32.28576304895647
2026-05-03,Sunday,17,Library Counter,2,0,2.5710840028566246,7,0,1,1.0
2026-03-30,Monday,16,Fee Counter,5,76,1.9066044489796292,71,0,0,33.09037226344218
2026-06-02,Tuesday,9,Fee Counter,2,29,1.6089073193798709,9,1,0,23.596781835573715
2026-02-07,Saturday,15,Library Counter,5,47,1.766282020381177,41,0,0,20.758890439327605
2026-03-22,Sunday,9,Student Service Center,5,55,4.806452355981795,44,1,0,56.78691895825853
2026-02-02,Monday,13,Library Counter,4,87,6.859093298545704,45,1,0,151.76505093672336
2026-06-19,Friday,11,Library Counter,4,65,1.204730981241914,62,0,0,23.183412449699205
2026-05-18,Monday,12,Admin Office,4,37,2.3519300521110513,16,0,0,19.428138777771103
2026-06-04,Thursday,8,Cafeteria,1,70,6.730755943498893,68,0,0,469.180505789668
2026-06-07,Sunday,14,Admin Office,1,108,7.524196738570122,64,1,0,810.4333255894986
2026-05-28,Thursday,11,Admin Office,4,21,5.075193221233913,26,0,0,26.411828867101693
2026-04-30,Thursday,9,Admin Office,5,63,3.6852858228393526,56,0,0,43.959610524367946
2026-02-02,Monday,13,Library Counter,3,66,7.979871501103978,50,0,0,175.96662344217532
2026-05-21,Thursday,16,Student Service Center,5,59,2.6103757812200374,51,0,0,28.853115229671463
2026-03-22,Sunday,15,Fee Counter,5,76,3.78316078573956,63,1,0,56.697765562030675
2026-05-11,Monday,8,Admin Office,4,34,5.561667777631195,39,0,0,47.222386859655245
2026-01-15,Thursday,15,Fee Counter,1,54,4.712480756097793,31,1,0,251.61685596910735
2026-04-03,Friday,12,Fee Counter,2,57,1.8211573227367612,29,0,0,49.904470035618104
2026-03-25,Wednesday,11,Cafeteria,1,8,4.032727242801589,6,0,0,37.13662920163594
2026-03-13,Friday,12,Admin Office,2,61,5.864873202885798,36,0,0,182.75961186553047
2026-04-12,Sunday,16,Library Counter,3,59,4.492217074159493,50,0,0,90.2921816663483
2026-05-28,Thursday,8,Admin Office,2,40,3.454388518464265,37,0,0,66.35339523961623
2026-04-26,Sunday,17,Admin Office,2,43,7.660849820487289,48,0,0,162.7020308743012
2026-05-03,Sunday,13,Cafeteria,1,34,5.998608524926994,12,0,0,207.36651451207615
2026-03-03,Tuesday,14,Library Counter,4,50,4.366326820142894,26,0,0,51.905118100525954
2026-04-16,Thursday,9,Fee Counter,4,24,4.291278148876655,23,0,0,28.701901418019574
2026-04-29,Wednesday,12,Library Counter,4,45,7.974337412397194,26,0,0,94.5096411866427
2026-05-11,Monday,17,Library Counter,3,17,2.2193533560477756,11,0,0,17.262580096166545
2026-01-24,Saturday,11,Student Service Center,4,66,4.803103663543019,64,0,0,80.36317739092962
2026-04-15,Wednesday,11,Admin Office,5,36,3.952046488114188,38,0,0,27.669357092302565
2026-04-25,Saturday,17,Student Service Center,4,34,2.650544657714469,25,0,0,25.737631246856424
2026-04-10,Friday,14,Admin Office,4,60,1.483929503306336,41,0,0,22.756265660129653
2026-03-01,Sunday,15,Cafeteria,4,28,7.005903777458941,32,0,0,46.11356967524899
2026-06-17,Wednesday,15,Fee Counter,5,11,4.094170616480003,14,0,0,8.654290260169383
2026-04-03,Friday,17,Fee Counter,1,53,5.947440518198121,47,0,0,313.550682727708
2026-01-28,Wednesday,16,Library Counter,5,48,5.937699158785425,53,0,0,57.57286109644077
2026-04-21,Tuesday,13,Fee Counter,3,29,4.7181866960072245,6,0,0,50.10198359976286
2026-01-29,Thursday,8,Library Counter,5,78,5.817455061066168,55,1,0,90.93133086034744
2026-02-12,Thursday,9,Cafeteria,2,84,4.652110326453492,60,1,0,195.129861616014
2026-02-07,Saturday,11,Student Service Center,4,8,2.3184435863592103,12,0,0,7.4835229716854315
2026-06-06,Saturday,13,Student Service Center,2,61,1.1226119360344358,47,0,1,33.19284237242928
2026-01-26,Monday,15,Cafeteria,4,67,5.204266797823653,72,0,0,91.6984717142507
2026-05-22,Friday,12,Student Service Center,1,88,3.2267808753268366,68,0,0,287.88822636898277
2026-03-30,Monday,16,Student Service Center,5,8,4.0672064248839135,8,0,0,10.718535476521815
2026-05-21,Thursday,16,Library Counter,5,74,1.0403106234868509,58,1,0,14.993283866807555
2026-03-17,Tuesday,17,Student Service Center,3,48,4.1109361692584105,53,0,0,62.89231516450468
2026-01-11,Sunday,10,Admin Office,2,32,4.633572495953526,30,0,0,74.97061495629427
2026-04-27,Monday,17,Cafeteria,4,46,5.255335649554112,48,0,0,63.55542606220932
2026-03-11,Wednesday,9,Fee Counter,3,50,7.286213842649908,51,0,0,120.38475575010888
2026-02-20,Friday,11,Student Service Center,5,71,2.9941103137334597,72,0,0,41.97468617442542
2026-06-05,Friday,10,Admin Office,4,12,1.853202653358633,8,0,0,4.008802756353342
2026-04-05,Sunday,17,Student Service Center,1,38,4.384819527039474,40,0,0,170.07108242570126
2026-05-09,Saturday,15,Student Service Center,2,26,4.606226192336122,26,0,0,61.62924905335476
2026-01-26,Monday,16,Admin Office,2,13,2.6580939128213745,28,0,1,20.52181455528983
2026-02-19,Thursday,15,Library Counter,4,19,5.367015272736011,22,0,0,26.107463975393884
2026-03-10,Tuesday,8,Library Counter,4,40,5.493800503102862,26,1,0,56.79475731973886
2026-06-09,Tuesday,17,Cafeteria,5,3,5.179328418269842,6,0,0,5.514327011660913
2026-02-11,Wednesday,13,Student Service Center,1,82,1.7287675456891645,64,0,1,144.55364928354143
2026-02-11,Wednesday,14,Student Service Center,4,30,3.2636009348086454,7,0,0,23.290258228880745
2026-06-18,Thursday,14,Fee Counter,5,35,2.6359845733730314,9,0,0,19.771987330447306
2026-02-19,Thursday,10,Fee Counter,5,7,3.6493349644010835,6,0,0,5.012623124929452
2026-02-04,Wednesday,9,Fee Counter,4,34,2.4065358206133953,35,0,1,21.742175950998508
2026-06-07,Sunday,16,Fee Counter,1,5,2.642494572988175,7,0,1,13.407000191415339
2026-04-14,Tuesday,13,Student Service Center,4,68,1.6505040106557294,34,1,0,27.11494631260404
2026-02-01,Sunday,8,Student Service Center,4,16,3.1218984916173005,18,0,0,11.592494525755946
2026-03-07,Saturday,16,Student Service Center,2,91,3.778870619519984,79,1,0,172.51623351219797
2026-02-24,Tuesday,13,Library Counter,3,45,3.7802514420044773,16,0,0,58.0216325801467
2026-06-22,Monday,10,Admin Office,3,86,3.8208612513561304,77,0,0,107.91955199210115
2026-05-10,Sunday,10,Admin Office,4,63,4.355481080964962,70,0,1,68.10864855475091
2026-04-05,Sunday,8,Student Service Center,4,36,3.57274095604072,29,0,0,29.700047079450428
2026-01-25,Sunday,11,Student Service Center,4,26,4.542993039881709,17,0,0,30.04554826829439
2026-03-01,Sunday,13,Student Service Center,3,52,4.951087634752177,35,0,0,84.35311198043931
2026-03-30,Monday,9,Library Counter,2,78,2.674260729511479,77,0,0,102.43416340044526
2026-03-14,Saturday,10,Fee Counter,1,10,5.306536067617076,21,0,1,52.515389642463646
2026-02-21,Saturday,11,Fee Counter,2,73,3.4796536831134217,66,0,0,128.211396409389
2026-01-14,Wednesday,14,Student Service Center,5,34,4.369409061447265,6,0,0,26.86551983242586
2026-03-20,Friday,12,Admin Office,2,36,6.840123561683373,17,0,0,125.1566145583866
2026-03-23,Monday,12,Student Service Center,4,44,4.495336844850328,15,0,0,48.576859517396656
2026-04-27,Monday,17,Fee Counter,2,63,4.2161273788419065,56,0,0,136.0881447842165
2026-05-21,Thursday,8,Cafeteria,1,2,1.53491801606636,6,0,1,2.304777743610451
2026-02-27,Friday,15,Student Service Center,4,63,5.456687775170451,63,0,0,87.8543011370151
2026-03-28,Saturday,15,Student Service Center,3,9,1.2661529376621843,12,0,1,6.7681168728412615
2026-05-09,Saturday,10,Library Counter,1,86,3.0757490690135865,62,1,0,264.31204577313525
2026-05-23,Saturday,10,Library Counter,4,17,6.813741194833879,9,0,0,26.50810273819013
2026-05-18,Monday,13,Fee Counter,1,52,3.673577477570271,29,0,0,189.67152693121852
2026-02-18,Wednesday,11,Fee Counter,1,75,7.779421443160686,66,0,0,586.846321770288
2026-05-20,Wednesday,15,Admin Office,5,42,2.096469058816658,36,0,0,14.960225101099685
2026-01-17,Saturday,15,Admin Office,1,24,2.6848489828275346,26,0,0,62.408386598268166
2026-02-01,Sunday,10,Cafeteria,5,38,2.8090213420427266,43,0,0,22.700694832986734
2026-05-29,Friday,12,Fee Counter,3,52,1.3022161505790817,26,0,0,20.890265135872916
2026-01-29,Thursday,12,Fee Counter,3,64,3.3966854522348253,27,1,0,72.7699545753717
2026-06-14,Sunday,8,Library Counter,3,28,2.120501444682011,29,0,0,20.483806612390424
2026-05-24,Sunday,15,Cafeteria,4,62,5.602922189446161,68,0,1,86.33272537647593
2026-05-29,Friday,14,Library Counter,3,31,4.669114195083136,13,0,0,52.031895678238584
2026-02-27,Friday,13,Fee Counter,1,80,5.748651759985993,57,0,0,462.94225806201104
2026-03-11,Wednesday,15,Library Counter,5,6,6.462798433030922,8,0,0,6.49303090116679
2026-06-03,Wednesday,12,Student Service Center,5,87,3.7137151632527594,64,0,0,64.83726083809046
2026-03-12,Thursday,11,Student Service Center,3,57,4.924620660913197,59,0,0,95.39569389012237
2026-06-11,Thursday,9,Library Counter,4,43,3.3396682308724257,26,1,0,39.18060929877032
2026-04-27,Monday,11,Library Counter,5,54,1.6202030077573206,59,0,0,16.26308810546875
2026-02-16,Monday,16,Fee Counter,5,33,1.8283533364637112,24,0,0,12.3463711382308
2026-03-19,Thursday,14,Cafeteria,2,89,3.341579021193525,65,0,0,145.9098401113684
2026-04-23,Thursday,13,Student Service Center,1,62,6.969096139129979,23,1,0,430.88829126546455
2026-03-10,Tuesday,12,Fee Counter,1,88,1.5642105962998727,74,0,1,140.47404693017893
2026-06-12,Friday,8,Cafeteria,4,70,1.9474785759437987,64,0,0,37.091875767248844
2026-06-01,Monday,16,Fee Counter,5,34,2.8319397861513416,34,0,0,18.23302093840512
2026-01-14,Wednesday,15,Admin Office,2,99,6.9716273638255535,77,1,0,342.46755920088543
2026-03-23,Monday,17,Library Counter,1,11,7.298833419810907,11,0,0,77.4617547921239
2026-05-28,Thursday,15,Student Service Center,2,36,4.461367919065651,18,1,0,85.14102926623578
2026-03-10,Tuesday,10,Admin Office,5,19,2.28110810964309,16,0,0,5.844492099023775
2026-04-27,Monday,11,Admin Office,1,50,2.5918664710296526,28,1,0,129.825146562095
2026-02-12,Thursday,16,Cafeteria,1,73,2.1604217811429303,69,0,0,162.27637519943616
2026-04-22,Wednesday,16,Admin Office,2,43,3.0341129186444857,43,0,0,68.52918883019778
2026-02-07,Saturday,17,Library Counter,3,10,2.1529444740260715,11,0,0,6.818202099058885
2026-04-20,Monday,11,Student Service Center,4,63,6.25510654899543,44,1,0,99.98177405693913
2026-03-07,Saturday,16,Library Counter,4,11,5.597460733070058,10,0,0,18.969842300744464
2026-06-27,Saturday,10,Student Service Center,3,14,3.496696818992353,12,0,0,19.377773566946317
2026-03-26,Thursday,15,Cafeteria,2,12,3.217331739472687,16,0,0,23.161424492826143
2026-01-03,Saturday,9,Library Counter,1,11,6.128446642905829,12,0,0,70.97593313155592
2026-04-11,Saturday,11,Library Counter,1,30,3.924326854925698,20,1,0,122.60268820006293
2026-01-21,Wednesday,9,Fee Counter,4,45,4.918289785468678,31,1,0,56.54995706350404
2026-01-25,Sunday,11,Admin Office,2,71,7.007239372100148,65,0,0,252.30950582044852
2026-06-27,Saturday,13,Library Counter,4,77,4.214856380212497,51,0,0,80.9983714416941
2026-05-11,Monday,17,Student Service Center,4,52,7.337519119945092,39,1,0,98.3051189651003
2026-03-23,Monday,17,Library Counter,1,20,6.643371167026536,21,0,0,136.6173219517845
2026-04-01,Wednesday,10,Cafeteria,4,46,1.4874880371368402,44,0,0,15.505163924481337
2026-05-28,Thursday,8,Library Counter,4,43,1.4795378463888569,19,1,0,19.010274178751327
2026-02-15,Sunday,11,Fee Counter,4,15,1.0013187968960733,10,0,0,2.1075940512082147
2026-04-08,Wednesday,15,Fee Counter,5,43,1.7750441532842096,34,0,0,15.645767144739757
2026-01-25,Sunday,15,Admin Office,1,33,6.634347437890071,46,0,1,216.077517895176
2026-03-12,Thursday,16,Library Counter,4,64,1.7880627328835592,51,1,0,31.238491545823315
2026-03-02,Monday,11,Cafeteria,1,23,1.519686110918705,18,0,0,33.76359250586211
2026-03-19,Thursday,16,Fee Counter,3,62,2.297311256701001,45,1,0,45.10951926934731
2026-03-03,Tuesday,8,Fee Counter,3,24,2.766150748875846,25,0,0,20.89100840202529
2026-06-21,Sunday,8,Student Service Center,5,34,1.452808254605921,39,0,0,14.52569200108628
2026-01-08,Thursday,14,Fee Counter,4,47,2.1537727274273344,23,0,0,23.6714848397279
2026-01-21,Wednesday,10,Fee Counter,1,81,1.7295736196584337,75,0,0,140.17155381349164
2026-06-22,Monday,10,Fee Counter,2,7,5.438728219634319,5,0,0,16.603006497790304
2026-06-02,Tuesday,9,Cafeteria,5,9,2.9377001545391406,12,0,0,10.06012180537886
2026-04-03,Friday,8,Library Counter,3,60,4.759052418459508,53,0,0,99.01413635039421
2026-04-23,Thursday,15,Library Counter,4,61,3.7775779296042153,53,0,0,54.96316560383112
2026-01-09,Friday,15,Student Service Center,1,60,4.551883571024662,55,0,0,277.10679445896113
2026-05-21,Thursday,10,Library Counter,5,65,6.1090221619393485,44,1,0,83.4753565539703
2026-04-19,Sunday,8,Student Service Center,2,30,5.4548095912838495,12,1,0,79.23122692079455
2026-06-24,Wednesday,14,Cafeteria,4,66,5.638651591415488,37,0,0,90.77602959494162
2026-06-05,Friday,15,Fee Counter,1,22,7.592079981332475,19,0,0,169.37434076309776
2026-04-15,Wednesday,17,Admin Office,3,55,1.8101632467509376,55,0,0,31.420898712698488
2026-01-03,Saturday,11,Library Counter,5,43,1.9949598665542037,20,1,0,14.250307738213385
2026-01-12,Monday,10,Library Counter,1,61,2.5123595550818103,66,0,0,153.98679513756818
2026-06-01,Monday,16,Fee Counter,5,50,4.79774057972576,49,0,0,51.87134575660396
2026-01-30,Friday,9,Library Counter,3,73,3.232067728247972,67,1,1,80.30457136012024
2026-02-26,Thursday,13,Fee Counter,4,86,4.013705369235453,60,0,0,84.4354185912175
2026-02-25,Wednesday,8,Cafeteria,4,28,1.0469727321284197,22,0,0,7.4158051480598655
2026-05-06,Wednesday,8,Cafeteria,5,66,4.91781911386558,60,0,0,62.757285784601756
2026-04-23,Thursday,9,Student Service Center,3,35,2.4620484949401797,30,0,0,33.12899774783812
2026-02-20,Friday,9,Library Counter,5,45,3.6236249744725746,41,0,0,33.404676198118416
2026-05-14,Thursday,11,Admin Office,4,72,2.0610900500891596,63,0,0,34.34712205945561
2026-01-22,Thursday,11,Student Service Center,5,62,6.869844504319797,57,0,0,85.03555703050625
2026-04-08,Wednesday,10,Admin Office,1,31,6.814819573640538,25,0,0,212.61802804321817
2026-05-09,Saturday,15,Student Service Center,3,62,7.956938722297887,55,0,0,168.48591835801443
2026-04-14,Tuesday,13,Cafeteria,2,38,6.967904473310875,12,0,0,135.07726272636518
2026-04-28,Tuesday,10,Library Counter,5,57,1.2658709430289743,51,0,0,17.397809059546404
2026-01-05,Monday,8,Fee Counter,1,23,4.238729235457755,21,1,1,102.33867144082984
2026-02-21,Saturday,13,Admin Office,4,56,5.240287121973397,27,0,0,77.71389739247859
2026-06-28,Sunday,12,Library Counter,2,29,7.692330005283532,8,0,0,110.14258120083844
